Reference,DOI,species_name,species_name2,species,sample_label,sample_id,max_diam_mu,total_ind_measured_in_the_sample,lat,long,sample_type,vessel,sampling_date,water_depth,trap_depth
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b12,281.49,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b12,225.16,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b12,259.45,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b13,298.15,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b13,244.63,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b13,243.28,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b13,204.1,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b13,227.16,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b14,241.8,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b14,205.61,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b14,234.06,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b14,323.42,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b14,201.53,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b15,220.67,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b15,257.55,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b15,193.17,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b15,268.02,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b15,247.91,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b16,183.17,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b16,211.18,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b16,275.5,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b16,259.59,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b16,240.51,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b17,369.76,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b17,215.65,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b17,298.89,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b17,210.25,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b17,189.84,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b18,353.18,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b18,275.86,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b18,262.44,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b19,357.61,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b19,205.6,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b19,250.21,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b19,230.95,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-02,b2,355.91,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b2,340.48,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b2,348.55,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b2,268.47,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b2,290.13,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b2,200.42,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-08,b2,234.58,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-09,b2,239.86,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-10,b2,375.79,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-11,b2,339.33,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-13,b2,254.67,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-15,b2,230.1,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-16,b2,296.64,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-17,b2,218.58,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-18,b2,206.37,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b20,291.32,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b20,320.29,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b20,220.04,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b20,199.08,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b21,257.61,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b21,301.69,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b21,262.63,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b22,203.57,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b22,237.83,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b22,261.76,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b22,248.03,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b23,183.07,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b23,216.1,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b23,240.36,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b23,222.74,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b24,393.45,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b24,278.72,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b25,354.22,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b25,270.34,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b26,287.76,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b26,221.55,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b27,291.22,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b27,186.26,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b28,250.55,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b28,284.78,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b29,214.49,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b29,272.9,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-02,b3,281.52,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-03,b3,301.4,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-04,b3,301.5,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-05,b3,262.96,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-06,b3,261.26,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-07,b3,319.64,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-08,b3,218.31,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-09,b3,210.11,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
Weinkauf et al. 2016,https://doi.org/10.1594/PANGAEA.846744,Globigerina bulloides,Globigerina_bulloides,bulloides,276-22-10,b3,232.11,189,30,-22,sed_trap ,JGOFS,01/04/04,-5300,-2000
